,Unnamed: 0,id,label,text,tokens,stems,lemmas
13,13,768223225453084674,P,misscatingcat bueno al menos has acabado noche hermosa vista ami tambien me gusta verlos noche ,"['misscatingcat', 'bueno', 'al', 'menos', 'has', 'acabado', 'noche', 'hermosa', 'vista', 'ami', 'tambien', 'me', 'gusta', 'verlos', 'noche']","['misscatingcat', 'buen', 'al', 'men', 'has', 'acab', 'noch', 'hermos', 'vist', 'ami', 'tambi', 'me', 'gust', 'verl', 'noch']","['misscatingcat', 'bueno', 'al', 'menos', 'haber', 'acabar', 'noche', 'hermoso', 'vista', 'ami', 'tambien', 'gustar', 'ver él', 'noche']"
14,14,768223146868703232,N,mendescodes heroinseb enserio cuando habéis dicho froot loops malos me ha dolido,"['mendescodes', 'heroinseb', 'enserio', 'cuando', 'habéis', 'dicho', 'froot', 'loops', 'malos', 'me', 'ha', 'dolido']","['mendescod', 'heroinseb', 'enseri', 'cuand', 'hab', 'dich', 'froot', 'loops', 'mal', 'me', 'ha', 'dol']","['mendescodes', 'heroinseb', 'enserio', 'cuando', 'habéis', 'decir', 'froot', 'loops', 'malo', 'haber', 'doler']"
15,15,768229223769202689,P,sakura abril ow bueno pasa nada cuando puedas confirmarlo estoy aquí cara feliz con ojos sonrientes si pudieras cosplay sí a expo ,"['sakura', 'abril', 'ow', 'bueno', 'pasa', 'nada', 'cuando', 'puedas', 'confirmarlo', 'estoy', 'aquí', 'cara', 'feliz', 'con', 'ojos', 'sonrientes', 'si', 'pudieras', 'cosplay', 'sí', 'a', 'expo']","['sakur', 'abril', 'ow', 'buen', 'pas', 'nad', 'cuand', 'pued', 'confirm', 'estoy', 'aqu', 'car', 'feliz', 'con', 'ojos', 'sonrient', 'si', 'pud', 'cosplay', 'si', 'a', 'expo']","['sakura', 'abril', 'ow', 'bueno', 'pasar', 'cuando', 'puedas', 'confirmar él', 'estar', 'aquí', 'cara', 'feliz', 'con', 'ojo', 'sonrient', 'si', 'pudierar', 'cosplay', 'sí', 'a', 'expo']"
16,16,768228919032082433,P,aunque pensaba hasta mes octubre lunes próximo volveré a ver a familia mataró  felicidad,"['aunque', 'pensaba', 'hasta', 'mes', 'octubre', 'lunes', 'próximo', 'volveré', 'a', 'ver', 'a', 'familia', 'mataró', 'felicidad']","['aunqu', 'pens', 'hast', 'mes', 'octubr', 'lun', 'proxim', 'volv', 'a', 'ver', 'a', 'famili', 'matar', 'felic']","['aunque', 'pensar', 'hasta', 'mes', 'octubre', 'lunes', 'próximo', 'volver', 'a', 'ver', 'a', 'familia', 'matarar', ' ', 'felicidad']"
17,17,768228580673347584,N,oye luciaskaa te pones a hablar josecs como viejos tiempos avisas juanalfonso crisdazgar,"['oye', 'luciaskaa', 'te', 'pones', 'a', 'hablar', 'josecs', 'como', 'viejos', 'tiempos', 'avisas', 'juanalfonso', 'crisdazgar']","['oye', 'luciaska', 'te', 'pon', 'a', 'habl', 'josecs', 'com', 'viej', 'tiemp', 'avis', 'juanalfons', 'crisdazg']","['oir', 'luciaskaa', 'poner', 'a', 'hablar', 'josecs', 'como', 'viejo', 'tiempo', 'avisa', 'juanalfonso', 'crisdazgar']"
18,18,768228346232729603,N,jclilgangster yo tengo aguantar  niños pequeños,"['jclilgangster', 'yo', 'tengo', 'aguantar', 'niños', 'pequeños']","['jclilgangst', 'yo', 'teng', 'aguant', 'niñ', 'pequeñ']","['jclilgangster', 'tener', 'aguantar', ' ', 'niño', 'pequeño']"
19,19,768232948231462912,NONE,tejecristal  emberda estoy dedicandome a supps últimamente,"['tejecristal', 'emberda', 'estoy', 'dedicandome', 'a', 'supps', 'últimamente']","['tejecristal', 'emberd', 'estoy', 'dedic', 'a', 'supps', 'ultim']","['tejecristal', ' ', 'emberda', 'estar', 'dedicandome', 'a', 'supps', 'últimamente']"
20,20,768232556538068992,P,yosmath planetaradio incantus genial ya estoy conectada,"['yosmath', 'planetaradio', 'incantus', 'genial', 'ya', 'estoy', 'conectada']","['yosmath', 'planetaradi', 'incantus', 'genial', 'ya', 'estoy', 'conect']","['yosmath', 'planetaradio', 'incantus', 'genial', 'ya', 'estar', 'conectado']"
21,21,768018934385807360,NEU,muy raro sentimiento tengo ahora aunque fin qué más dará,"['muy', 'raro', 'sentimiento', 'tengo', 'ahora', 'aunque', 'fin', 'qué', 'más', 'dará']","['muy', 'rar', 'sentimient', 'teng', 'ahor', 'aunqu', 'fin', 'que', 'mas', 'dar']","['mucho', 'raro', 'sentimiento', 'tener', 'ahora', 'aunque', 'fin', 'más', 'dar']"
22,22,768016294499221504,N,pabloserrano jesusbengoechea madrid tiene cultura no tiene cultura propia vamos como romanos su tiempo,"['pabloserrano', 'jesusbengoechea', 'madrid', 'tiene', 'cultura', 'no', 'tiene', 'cultura', 'propia', 'vamos', 'como', 'romanos', 'su', 'tiempo']","['pabloserran', 'jesusbengoeche', 'madr', 'tien', 'cultur', 'no', 'tien', 'cultur', 'propi', 'vam', 'com', 'roman', 'su', 'tiemp']","['pabloserrano', 'jesusbengoechea', 'madrid', 'tener', 'cultura', 'no', 'tener', 'cultura', 'propio', 'ir', 'como', 'romano', 'su', 'tiempo']"
23,23,768016038126620672,N,gracias ánimos he dormido poco más me he tomado pastilla ha bajado a  medio aún me noto rara,"['gracias', 'ánimos', 'he', 'dormido', 'poco', 'más', 'me', 'he', 'tomado', 'pastilla', 'ha', 'bajado', 'a', 'medio', 'aún', 'me', 'noto', 'rara']","['graci', 'anim', 'he', 'dorm', 'poc', 'mas', 'me', 'he', 'tom', 'pastill', 'ha', 'baj', 'a', 'medi', 'aun', 'me', 'not', 'rar']","['gracias', 'ánimo', 'haber', 'dormir', 'poco', 'más', 'haber', 'tomar', 'pastilla', 'haber', 'bajar', 'a', ' ', 'medio', 'aún', 'notar', 'raro']"
24,24,768078078589464578,NEU,kunmadera pues date unas cuantas horas muy temprano,"['kunmadera', 'pues', 'date', 'unas', 'cuantas', 'horas', 'muy', 'temprano']","['kunmader', 'pues', 'dat', 'unas', 'cuant', 'hor', 'muy', 'tempran']","['kunmadera', 'pues', 'datir', 'uno', 'cuanto', 'hora', 'mucho', 'temprano']"
25,25,768055768700575744,P,xzdry xslgy tienes pinta gente q veo t he conocio gracias a qt,"['xzdry', 'xslgy', 'tienes', 'pinta', 'gente', 'q', 'veo', 't', 'he', 'conocio', 'gracias', 'a', 'qt']","['xzdry', 'xslgy', 'tien', 'pint', 'gent', 'q', 'veo', 't', 'he', 'conoci', 'graci', 'a', 'qt']","['xzdry', 'xslgy', 'tener', 'pinta', 'gente', 'q', 'ver', 't', 'haber', 'conocio', 'gracias', 'a', 'qt']"
26,26,768055711590977536,P,achocoblog  bueno desierta desierta no seres feéricos,"['achocoblog', 'bueno', 'desierta', 'desierta', 'no', 'seres', 'feéricos']","['achocoblog', 'buen', 'desiert', 'desiert', 'no', 'ser', 'feeric']","['achocoblog', ' ', 'bueno', 'desierta', 'desierto', 'no', 'ser', 'feérico']"
27,27,768055650970693632,N,policia  esperando comisaría gandia han atendido a  personas solamente para autorización viaje a menor,"['policia', 'esperando', 'comisaría', 'gandia', 'han', 'atendido', 'a', 'personas', 'solamente', 'para', 'autorización', 'viaje', 'a', 'menor']","['polici', 'esper', 'comis', 'gandi', 'han', 'atend', 'a', 'person', 'sol', 'par', 'autoriz', 'viaj', 'a', 'menor']","['policia', ' ', 'esperar', 'comisaría', 'gandio', 'haber', 'atender', 'a', ' ', 'persona', 'solamente', 'para', 'autorización', 'viaje', 'a', 'menor']"
28,28,768055614413086720,N,angelet elespanolcom he visto su dni o pasaporte presume serlo aunque muydemasiadopeculiar poco caritativa,"['angelet', 'elespanolcom', 'he', 'visto', 'su', 'dni', 'o', 'pasaporte', 'presume', 'serlo', 'aunque', 'muydemasiadopeculiar', 'poco', 'caritativa']","['angelet', 'elespanolcom', 'he', 'vist', 'su', 'dni', 'o', 'pasaport', 'presum', 'serl', 'aunqu', 'muydemasiadopeculi', 'poc', 'carit']","['angelet', 'elespanolcom', 'haber', 'ver', 'su', 'dni', 'o', 'pasaporte', 'presumir', 'ser él', 'aunque', 'muydemasiadopeculiar', 'poco', 'caritativa']"
29,29,768065433362726912,N,albgard oh ¿me estás llamando gordo jajaja grazie ruliño puedo,"['albgard', 'oh', 'me', 'estás', 'llamando', 'gordo', 'jajaja', 'grazie', 'ruliño', 'puedo']","['albgard', 'oh', 'me', 'estas', 'llam', 'gord', 'jajaj', 'grazi', 'ruliñ', 'pued']","['albgard', 'oh', '¿', 'estar', 'llamar', 'gordo', 'jajaja', 'grazie', 'ruliño', 'poder']"
30,30,768064666123825152,P,barrosnerea tú siempre sexy nerea qué tengas maravilloso día besitos,"['barrosnerea', 'tú', 'siempre', 'sexy', 'nerea', 'qué', 'tengas', 'maravilloso', 'día', 'besitos']","['barrosnere', 'tu', 'siempr', 'sexy', 'nere', 'que', 'teng', 'maravill', 'dia', 'besit']","['barrosnerear', 'siempre', 'sexy', 'nerea', 'tengar', 'maravilloso', 'día', 'besito']"
31,31,768064453246128128,P,seestrena seestrenasietevidas sería gato tipo garfield porqué soy poco vago porqué me encanta lasaña,"['seestrena', 'seestrenasietevidas', 'sería', 'gato', 'tipo', 'garfield', 'porqué', 'soy', 'poco', 'vago', 'porqué', 'me', 'encanta', 'lasaña']","['seestren', 'seestrenasietev', 'ser', 'gat', 'tip', 'garfield', 'porqu', 'soy', 'poc', 'vag', 'porqu', 'me', 'encant', 'lasañ']","['seestrenar', 'seestrenasietevida', 'ser', 'gato', 'tipo', 'garfield', 'porqué', 'ser', 'poco', 'vago', 'porqué', 'encantar', 'lasaña']"
32,32,768063661541851137,N,prxttytimebomb emimartinez  si odio a muerte a nueva harley quieres,"['prxttytimebomb', 'emimartinez', 'si', 'odio', 'a', 'muerte', 'a', 'nueva', 'harley', 'quieres']","['prxttytimebomb', 'emimartinez', 'si', 'odi', 'a', 'muert', 'a', 'nuev', 'harley', 'quier']","['prxttytimebomb', 'emimartinez', ' ', 'si', 'odiar', 'a', 'muerte', 'a', 'nueva', 'harley', 'quieres']"
33,33,768063618415992832,N,winterscliffrd tu como soportas calor sevillano hija,"['winterscliffrd', 'tu', 'como', 'soportas', 'calor', 'sevillano', 'hija']","['winterscliffrd', 'tu', 'com', 'soport', 'calor', 'sevillan', 'hij']","['winterscliffrd', 'tu', 'como', 'soporta', 'calor', 'sevillano', 'hija']"
34,34,768062895053742080,NONE,joseche jagg adsuara cremos agencia contratación temporales a ver cómo vende a sindicatos,"['joseche', 'jagg', 'adsuara', 'cremos', 'agencia', 'contratación', 'temporales', 'a', 'ver', 'cómo', 'vende', 'a', 'sindicatos']","['josech', 'jagg', 'adsu', 'crem', 'agenci', 'contrat', 'temporal', 'a', 'ver', 'com', 'vend', 'a', 'sindicat']","['joseche', 'jagg', 'adsuara', 'cremos', 'agencia', 'contratación', 'temporal', 'a', 'ver', 'vender', 'a', 'sindicato']"
35,35,768059359934943233,N,soyalt es estaremos atentas a las novedades futuras ¡el final del verano será igual vosotros,"['soyalt', 'es', 'estaremos', 'atentas', 'a', 'las', 'novedades', 'futuras', 'el', 'final', 'del', 'verano', 'será', 'igual', 'vosotros']","['soyalt', 'es', 'estar', 'atent', 'a', 'las', 'novedad', 'futur', 'el', 'final', 'del', 'veran', 'ser', 'igual', 'vosotr']","['soyalt', 'ser', 'estar', 'atento', 'a', 'el', 'novedad', 'futuro', '¡', 'el', 'final', 'del', 'verano', 'ser', 'igual', 'vosotro']"
36,36,768058983827537920,N,me quedé dormido xdddd esque sigo reventado,"['me', 'quedé', 'dormido', 'xdddd', 'esque', 'sigo', 'reventado']","['me', 'qued', 'dorm', 'xdddd', 'esqu', 'sig', 'revent']","['quedar', 'dormido', 'xdddd', 'esque', 'seguir', 'reventado']"
37,37,768057277865717761,N,confirmao tengo pie roto he notado como puto hueso movía,"['confirmao', 'tengo', 'pie', 'roto', 'he', 'notado', 'como', 'puto', 'hueso', 'movía']","['confirma', 'teng', 'pie', 'rot', 'he', 'not', 'com', 'put', 'hues', 'mov']","['confirmao', 'tener', 'pie', 'roto', 'haber', 'notar', 'como', 'puto', 'hueso', 'mover']"
38,38,768057031660072960,P,lmg muchísimas gracias luis tú también eres constancia trabajo espero os vaya todo genial,"['lmg', 'muchísimas', 'gracias', 'luis', 'tú', 'también', 'eres', 'constancia', 'trabajo', 'espero', 'os', 'vaya', 'todo', 'genial']","['lmg', 'muchisim', 'graci', 'luis', 'tu', 'tambien', 'eres', 'constanci', 'trabaj', 'esper', 'os', 'vay', 'tod', 'genial']","['lmg', 'muchísimo', 'gracia', 'luis', 'también', 'ser', 'constancia', 'trabajo', 'esperar', 'ir', 'todo', 'genial']"
39,39,768056909198950401,N,tengo adicción muy seria al burguer king necesito ayuda profesional,"['tengo', 'adicción', 'muy', 'seria', 'al', 'burguer', 'king', 'necesito', 'ayuda', 'profesional']","['teng', 'adiccion', 'muy', 'seri', 'al', 'burgu', 'king', 'necesit', 'ayud', 'profesional']","['tener', 'adicción', 'mucho', 'serio', 'al', 'burguer', 'king', 'necesito', 'ayuda', 'profesional']"
40,40,768056902655864832,N,me dice pajarito ahora puede reservar web bibo nuevo danigarcia ca espero sea demanda,"['me', 'dice', 'pajarito', 'ahora', 'puede', 'reservar', 'web', 'bibo', 'nuevo', 'danigarcia', 'ca', 'espero', 'sea', 'demanda']","['me', 'dic', 'pajarit', 'ahor', 'pued', 'reserv', 'web', 'bib', 'nuev', 'danigarci', 'ca', 'esper', 'sea', 'demand']","['decir', 'pajarito', 'ahora', 'poder', 'reservar', 'web', 'bibo', 'nuevo', 'danigarcia', 'ca', 'esperar', 'ser', 'demanda']"
41,41,768074230541975553,P,cobos rebeca a ti responder espero deseo te salgan proyectos besitos,"['cobos', 'rebeca', 'a', 'ti', 'responder', 'espero', 'deseo', 'te', 'salgan', 'proyectos', 'besitos']","['cob', 'rebec', 'a', 'ti', 'respond', 'esper', 'dese', 'te', 'salg', 'proyect', 'besit']","['cobo', 'rebeca', 'a', 'responder', 'esperar', 'deseo', 'salir', 'proyecto', 'besito']"
42,42,768073919169458176,NONE,puunissher kingkongjulen xcoorsa yuniiiiitoo youtube oye corsa yo he jugado contra puni lan,"['puunissher', 'kingkongjulen', 'xcoorsa', 'yuniiiiitoo', 'youtube', 'oye', 'corsa', 'yo', 'he', 'jugado', 'contra', 'puni', 'lan']","['puunissh', 'kingkongjul', 'xcoors', 'yuniiiiito', 'youtub', 'oye', 'cors', 'yo', 'he', 'jug', 'contr', 'puni', 'lan']","['puunissher', 'kingkongjulen', 'xcoorsa', 'yuniiiiitoo', 'youtube', 'oir', 'corsa', 'haber', 'jugar', 'contra', 'puni', 'lan']"
43,43,768079521648115713,P,estoy preparando cosas para especial sea muy especial,"['estoy', 'preparando', 'cosas', 'para', 'especial', 'sea', 'muy', 'especial']","['estoy', 'prepar', 'cos', 'par', 'especial', 'sea', 'muy', 'especial']","['estar', 'preparar', 'cosa', 'para', 'especial', 'ser', 'mucho', 'especial']"
44,44,768078356596330501,NEU,solo persona diga me conoce opine cómo soy convenza a otra ello significa sea así,"['solo', 'persona', 'diga', 'me', 'conoce', 'opine', 'cómo', 'soy', 'convenza', 'a', 'otra', 'ello', 'significa', 'sea', 'así']","['sol', 'person', 'dig', 'me', 'conoc', 'opin', 'com', 'soy', 'convenz', 'a', 'otra', 'ello', 'signif', 'sea', 'asi']","['solo', 'persona', 'diga', 'conocer', 'opinir', 'ser', 'convencer', 'a', 'otro', 'significar', 'ser', 'así']"
45,45,768078302078722048,NONE,teabrounanueva vives madrid bueno yo estoy ahorrando yo intento jo si pues cola ya quedaremos a parte,"['teabrounanueva', 'vives', 'madrid', 'bueno', 'yo', 'estoy', 'ahorrando', 'yo', 'intento', 'jo', 'si', 'pues', 'cola', 'ya', 'quedaremos', 'a', 'parte']","['teabrounanuev', 'viv', 'madr', 'buen', 'yo', 'estoy', 'ahorr', 'yo', 'intent', 'jo', 'si', 'pues', 'col', 'ya', 'qued', 'a', 'part']","['teabrounanueva', 'vives', 'madrid', 'bueno', 'estar', 'ahorrar', 'intento', 'jo', 'si', 'pues', 'colar', 'ya', 'quedarer', 'a', 'parte']"
46,46,768072993511763968,N,fonzeff malenko  girotix eso me temo mucho calor mucha gente todos lados malo viajar agosto,"['fonzeff', 'malenko', 'girotix', 'eso', 'me', 'temo', 'mucho', 'calor', 'mucha', 'gente', 'todos', 'lados', 'malo', 'viajar', 'agosto']","['fonzeff', 'malenk', 'girotix', 'eso', 'me', 'tem', 'much', 'calor', 'much', 'gent', 'tod', 'lad', 'mal', 'viaj', 'agost']","['fonzeff', 'malenko', ' ', 'girotix', 'temer', 'mucho', 'calor', 'mucho', 'gente', 'todo', 'lado', 'malo', 'viajar', 'agosto']"
47,47,768071942096166912,N,jordicanal pues si fichan lo sea además ridículo espantoso igual qsf nos deja plantadosesperemos,"['jordicanal', 'pues', 'si', 'fichan', 'lo', 'sea', 'además', 'ridículo', 'espantoso', 'igual', 'qsf', 'nos', 'deja', 'plantadosesperemos']","['jordicanal', 'pues', 'si', 'fich', 'lo', 'sea', 'ademas', 'ridicul', 'espant', 'igual', 'qsf', 'nos', 'dej', 'plantadosesp']","['jordicanal', 'pues', 'si', 'fichan', 'ser', 'además', 'ridículo', 'espantoso', 'igual', 'qsf', 'dejar', 'plantadosesperemo']"
48,48,768071491447652352,NONE,virsnroses cuando estén  contactados aprobados publicará listado nuestra web,"['virsnroses', 'cuando', 'estén', 'contactados', 'aprobados', 'publicará', 'listado', 'nuestra', 'web']","['virsnr', 'cuand', 'esten', 'contact', 'aprob', 'public', 'list', 'nuestr', 'web']","['virsnrós', 'cuando', 'estar', ' ', 'contactado', 'aprobado', 'publicar', 'listado', 'nuestro', 'web']"
49,49,768083732356075520,P,edu rnieves te recomiendo parece monótona hay capítulos vuelven a subir interés,"['edu', 'rnieves', 'te', 'recomiendo', 'parece', 'monótona', 'hay', 'capítulos', 'vuelven', 'a', 'subir', 'interés']","['edu', 'rniev', 'te', 'recom', 'parec', 'monoton', 'hay', 'capitul', 'vuelv', 'a', 'sub', 'interes']","['edu', 'rniev', 'recomeir', 'parecer', 'monótono', 'haber', 'capítulo', 'volver', 'a', 'subir', 'interés']"
50,50,768082578519785472,N,ya tengo capítulos juego tronos para ver me siento vacía,"['ya', 'tengo', 'capítulos', 'juego', 'tronos', 'para', 'ver', 'me', 'siento', 'vacía']","['ya', 'teng', 'capitul', 'jueg', 'tron', 'par', 'ver', 'me', 'sient', 'vac']","['ya', 'tener', 'capítulo', 'juego', 'trono', 'para', 'ver', 'sentir', 'vacía']"
51,51,768082463201587200,P,goetha jajaja aprovechó ke pudo ya fue a currar mañana descansa mucho lío entonces no malagueño tal,"['goetha', 'jajaja', 'aprovechó', 'ke', 'pudo', 'ya', 'fue', 'a', 'currar', 'mañana', 'descansa', 'mucho', 'lío', 'entonces', 'no', 'malagueño', 'tal']","['goeth', 'jajaj', 'aprovech', 'ke', 'pud', 'ya', 'fue', 'a', 'curr', 'mañan', 'descans', 'much', 'lio', 'entonc', 'no', 'malagueñ', 'tal']","['goetha', 'jajaja', 'aprovechar', 'ke', 'poder', 'ya', 'ser', 'a', 'currar', 'mañana', 'descansar', 'mucho', 'lío', 'entonces', 'no', 'malagueño', 'tal']"
52,52,768497346342772737,P,futbolero solo recuerda iman tranquila,"['futbolero', 'solo', 'recuerda', 'iman', 'tranquila']","['futboler', 'sol', 'recuerd', 'iman', 'tranquil']","['futbolero', 'solo', 'recordar', 'iman', 'tranquila']"
53,53,768496682082373632,NONE,altealasueca debate he estado leyendo blog silvio citaconsilvio pone feliuvicente citando al che,"['altealasueca', 'debate', 'he', 'estado', 'leyendo', 'blog', 'silvio', 'citaconsilvio', 'pone', 'feliuvicente', 'citando', 'al', 'che']","['altealasuec', 'debat', 'he', 'estad', 'leyend', 'blog', 'silvi', 'citaconsilvi', 'pon', 'feliuvicent', 'cit', 'al', 'che']","['altealasuecir', 'debate', 'haber', 'estar', 'leer', 'blog', 'silvio', 'citaconsilvio', 'poner', 'feliuvicente', 'citar', 'al', 'che']"
54,54,768557093955698688,NEU,comprendo te molen mis tattoos te hagas iguales,"['comprendo', 'te', 'molen', 'mis', 'tattoos', 'te', 'hagas', 'iguales']","['comprend', 'te', 'mol', 'mis', 'tatto', 'te', 'hag', 'igual']","['comprendo', 'molen', 'mi', 'tattoo', 'hagas', 'igual']"
55,55,768557081561591808,NONE, betterton juanrallo para cometer atentados terroristas  entonces existiera burkini,"['betterton', 'juanrallo', 'para', 'cometer', 'atentados', 'terroristas', 'entonces', 'existiera', 'burkini']","['betterton', 'juanrall', 'par', 'comet', 'atent', 'terror', 'entonc', 'exist', 'burkini']","[' ', 'betterton', 'juanrallo', 'para', 'cometer', 'atentado', 'terrorista', ' ', 'entonces', 'existir', 'burkini']"
56,56,768556761209004032,NONE,cayusollo pues necesito audio para próximo episodio ¿te animas,"['cayusollo', 'pues', 'necesito', 'audio', 'para', 'próximo', 'episodio', 'te', 'animas']","['cayusoll', 'pues', 'necesit', 'audi', 'par', 'proxim', 'episodi', 'te', 'anim']","['cayusollo', 'pues', 'necesitar', 'audio', 'para', 'próximo', 'episodio', '¿', 'animir']"
